Ponto de Venda,Data,Origem / mídia da sessão,Campanha da sessão,Sessões,Transações,Receita,Origem Agrupada
Site,11/07/2025,(not set),(not set),19397,1,27.29,Outros Canais
Site,19/03/2025,(not set),(not set),19371,4,877.6799990000001,Outros Canais
Site,16/03/2025,(not set),(not set),19369,18,2842.929998,Outros Canais
Site,11/06/2025,(not set),(not set),19358,4,594.549996,Outros Canais
Site,05/04/2025,(not set),(not set),19353,62,9766.880014,Outros Canais
Site,25/06/2025,(not set),(not set),19353,6,458.400009,Outros Canais
Site,12/07/2025,(not set),(not set),19344,7,1070.699997,Outros Canais
Site,27/02/2025,(not set),(not set),19305,15,3167.189993,Outros Canais
Site,16/04/2025,(not set),(not set),19285,7,2067.2700019999997,Outros Canais
Site,24/06/2025,(not set),(not set),19258,3,589.110005,Outros Canais
Site,24/03/2025,(not set),(not set),19252,8,1651.8499989999998,Outros Canais
Site,16/06/2025,(not set),(not set),19232,1,130.359998,Outros Canais
Site,19/02/2025,(not set),(not set),19225,19,2437.4600010000004,Outros Canais
Site,20/02/2025,(not set),(not set),19225,7,1494.409999,Outros Canais
Site,01/04/2025,(not set),(not set),19223,8,1784.850004,Outros Canais
Site,20/06/2025,(not set),(not set),19222,2,407.66999999999996,Outros Canais
Site,21/03/2025,(not set),(not set),19221,7,1425.290007,Outros Canais
Site,28/03/2025,(not set),(not set),19214,24,5049.979995,Outros Canais
Site,18/06/2025,(not set),(not set),19213,3,617.460002,Outros Canais
Site,17/04/2025,(not set),(not set),19201,10,3275.57999,Outros Canais
Site,14/06/2025,(not set),(not set),19201,2,164.79,Outros Canais
Site,09/02/2025,(not set),(not set),19174,5,941.0700019999999,Outros Canais
Site,24/02/2025,(not set),(not set),19166,31,4553.630002,Outros Canais
Site,11/03/2025,(not set),(not set),19162,4,1047.739998,Outros Canais
Site,15/06/2025,(not set),(not set),19161,2,654.410003,Outros Canais
Site,22/06/2025,(not set),(not set),19158,1,43.890002,Outros Canais
Site,03/03/2025,(not set),(not set),19146,4,1217.619995,Outros Canais
Site,11/04/2025,(not set),(not set),19143,6,653.0000020000001,Outros Canais
Site,10/04/2025,(not set),(not set),19132,3,314.5,Outros Canais
Site,18/04/2025,(not set),(not set),19110,3,213.310002,Outros Canais
Site,17/06/2025,(not set),(not set),19080,5,160.980002,Outros Canais
Site,09/04/2025,(not set),(not set),19074,19,3204.950005,Outros Canais
Site,08/02/2025,(not set),(not set),19065,5,795.329995,Outros Canais
Site,12/03/2025,(not set),(not set),19044,7,1939.1900080000003,Outros Canais
Site,20/04/2025,(not set),(not set),19022,4,1218.13,Outros Canais
Site,13/03/2025,(not set),(not set),19020,6,1068.889995,Outros Canais
Site,04/03/2025,(not set),(not set),18966,5,893.099998,Outros Canais
Site,14/02/2025,(not set),(not set),18962,3,1510.0099989999999,Outros Canais
Site,21/06/2025,(not set),(not set),18958,2,376.989997,Outros Canais
Site,16/02/2025,(not set),(not set),18944,3,394.41999799999996,Outros Canais
Site,19/06/2025,(not set),(not set),18943,5,1368.650001,Outros Canais
Site,17/02/2025,(not set),(not set),18937,8,1108.2700049999999,Outros Canais
Site,19/08/2025,(not set),(not set),18923,8,1350.5,Outros Canais
Site,02/04/2025,(not set),(not set),18894,8,972.499994,Outros Canais
Site,25/02/2025,(not set),(not set),18885,10,1715.2899979999997,Outros Canais
Site,14/03/2025,(not set),(not set),18883,9,1925.130009,Outros Canais
Site,04/04/2025,(not set),(not set),18860,11,1754.0499940000002,Outros Canais
